### MAJORS ###
USA = "countries/United States.txt"
GER = "countries/German Empire.txt"
AHE = "countries/Austria-Hungary.txt"
ENG = "countries/United Kingdom.txt"
SOV = "countries/Soviet Union.txt"
JAP = "countries/Japan.txt"
CHI = "countries/China.txt"
ITA = "countries/Italy.txt"

### MINORS ###
AFG = "countries/Afghanistan.txt"
ALB = "countries/Albania.txt"
ALG = "countries/Algeria.txt"
ARG = "countries/Argentina.txt"
ARM = "countries/Armenia.txt"
ASA = "countries/Aussa.txt"
ASI = "countries/Asir.txt"
AST = "countries/Australia.txt"
ASY = "countries/Assyria.txt"
AUS = "countries/Austria.txt"
AZR = "countries/Azerbaijan.txt"

BAH = "countries/Bahamas.txt"
BAL = "countries/Baltica.txt"
BAN = "countries/Bangladesh.txt"
BAS = "countries/British Antilles.txt"
BAY = "countries/Bavaria.txt"
BEL = "countries/Belgium.txt"
BHU = "countries/Bhutan.txt"
BLR = "countries/Belarus.txt"
BLZ = "countries/Belize.txt"
BNT = "countries/Banat.txt"
BOL = "countries/Bolivia.txt"
BOS = "countries/Bosnia.txt"
BOT = "countries/Botswana.txt"
BRA = "countries/Brazil.txt"
BRD = "countries/Burundi.txt"
BRI = "countries/Brittany.txt"
BRM = "countries/Burma.txt"
BUL = "countries/Bulgaria.txt"

CAM = "countries/Cambodia.txt"
CAN = "countries/Canada.txt"
CAR = "countries/Central African Republic.txt"
CAT = "countries/Catalonia.txt"
CAY = "countries/Cayenne.txt"
CEN = "countries/Central America.txt"
CHA = "countries/Chad.txt"
CHL = "countries/Chile.txt"
CHN = "countries/Chengdu.txt"
CMR = "countries/Cameroon.txt"
COG = "countries/Congo.txt"
COL = "countries/Colombia.txt"
COR = "countries/Corsica.txt"
COS = "countries/Costa Rica.txt"
CRC = "countries/Curacao.txt"
CRI = "countries/Crimea.txt"
CRO = "countries/Croatia.txt"
CRT = "countries/Cristeros.txt"
CSA = "countries/CSA.txt"
CUB = "countries/Cuba.txt"
CYP = "countries/Cyprus.txt"
CZE	= "countries/Czechoslovakia.txt"

DAH = "countries/Dahomey.txt"
DDR = "countries/East Germany.txt"
DEN = "countries/Denmark.txt"
DJI = "countries/Djibouti.txt"
DOM = "countries/Dominican Republic.txt"

ECU = "countries/Ecuador.txt"
EGY = "countries/Egypt.txt"
ELS = "countries/El Salvador.txt"
EQG = "countries/Equatorial Guinea.txt"
ERI = "countries/Eritrea.txt"
EST	= "countries/Estonia.txt"
ETH = "countries/Ethiopia.txt"

FER = "countries/Far Eastern Republic.txt"#
FIJ = "countries/Fiji.txt"
FIN = "countries/Finland.txt"
FNG = "countries/Fengtian.txt"
